address,national_phone,lat,lon,rating,google_maps_uri,website,user_rating_count,name,primary_type_display,price_level
"Bostancı, Bostan Tüccarı Sk. No:1, 34744 Kadıköy/İstanbul",(0216) 416 96 33,40.9536972,29.0900323,4.5,https://maps.google.com/?cid=6052787267930798197,,567.0,Çatana Balık,Restoran,
"Bostancı, Bahçelerarası Sk. eda apt 3/A D:3/A, 34744 Kadıköy/İstanbul",0530 443 59 92,40.9544702,29.0975329,4.8,https://maps.google.com/?cid=9239907076806864302,,3095.0,Noxus Chocolate,Tatlı,
"Kasaplar Çarşısı, Altıntepe, Turgut Özal Blv. No:11, 34840, 34840 Maltepe/İstanbul",0546 256 18 30,40.952776500000006,29.096822199999995,4.6,https://maps.google.com/?cid=12348874431763913104,http://bostanciazizinyeri.com.tr/,447.0,Aziz’in Yeri Bostancı,Restoran,
"Küçükyalı Mahallesi, Atatürk Caddesi, Küçükyalı, Gümüşçü Sokağı 46/D, 34840 Maltepe/İstanbul",(0216) 388 37 63,40.9464796,29.1110289,4.8,https://maps.google.com/?cid=10639891202068927723,https://thegranmacoffee.com/,1080.0,THEGRANMA food&coffee,Çay/Kahve,₺₺
"Çınar Mahallesi, Küçükyalı, Mustafa Kemâl Atatürk Cd No:4, 34841 Maltepe/İstanbul",(0216) 366 66 67,40.9460132,29.1111048,4.6,https://maps.google.com/?cid=18401608021730310018,http://www.instagram.com/silasararest,569.0,Sılaşara Restaurant & Cafe,Restoran,₺₺
"Bağdat caddesi, Küçükyalı, Minibüs Yolu NO 119/A, 34840 Maltepe/İstanbul",0544 118 53 53,40.949076,29.106188,4.6,https://maps.google.com/?cid=14487831857778365788,,271.0,FIRTINA BALIKÇILIK ALTINTEPE,Restoran,
"KÜÇÜKYALI HİLLTOWN AVM AYDINEVLER MAHALLESİ SİTELER YOLU SOKAK NO:! KAT:3, Aydınevler, 34854 Maltepe/İstanbul",,40.9528935,29.1216615,4.5,https://maps.google.com/?cid=9636636370979048559,https://vavahilltown.com/,2878.0,Vava,Restoran,₺₺
"Küçükyalı, Aydınevler, Sanayi Cd. No:25, 34854 Maltepe/İstanbul",0532 372 99 63,40.9469038,29.1262477,4.6,https://maps.google.com/?cid=15368756302493750883,https://www.isimsizdurumcu.com/,164.0,İSİMSİZ DÜRÜMCÜ,Türk Mutfağı,
"İdealtepe, Avcılar Sk. No:68, 34841, 34841 Maltepe/İstanbul",(0216) 367 00 33,40.9462849,29.1243498,4.5,https://maps.google.com/?cid=10650065977108056174,,201.0,İdeal Fırın,Fırın,₺
"Aydınevler, Albay Karaoğlanoğlu Sk. no:12/c, 34854 Maltepe/İstanbul",,40.950675200000006,29.1269934,5.0,https://maps.google.com/?cid=4039101407503843366,https://www.instagram.com/vanilyatadi/?hl=tr,1039.0,Vanilya Tadı,Tatlı,
